"","ID","IPV","LIHS","BF","time","BIP","BIPc","LIHSc","LIHSf","LIHSfc","BFf","BFfc","timeF"
"1",1,4.98241492242663,5.12283454978536,0.680021306632024,1,"Intersectional",1,1.76203221757864,"HighIH",3,"BF",3,"T1"
"2",2,3.19987975207992,2.45351565077589,-0.762950931438003,1,"Intersectional",1,-0.161396173624143,"MidIH",2,"FB",2,"T1"
"3",3,3.82578259323042,4.46334175255576,-0.256279064013552,1,"Typical",0,1.28682216663423,"HighIH",3,"FB",2,"T1"
"4",4,4.72737899422749,3.73953341786276,0.4735682894777,1,"Intersectional",1,0.765268334585789,"MidIH",2,"BF",3,"T1"
"5",5,4.35215047545887,5.50110566574195,0.169818694786698,1,"Intersectional",1,2.03460264903696,"HighIH",3,"BF",3,"T1"
"6",6,4.94394875144385,3.12280248433873,0.648882725045317,1,"Typical",0,0.320871156072092,"MidIH",2,"BF",3,"T1"
"7",7,2.981240351675,4.02472887682481,-0.939940754797957,1,"Intersectional",1,0.970771335000343,"MidIH",2,"FB",2,"T1"
"8",8,3.75562932492783,4.88250508146178,-0.313068528959046,1,"Intersectional",1,1.58885825818856,"HighIH",3,"FB",2,"T1"
"9",9,6.60133198681215,4.66188571551156,1.99054376840861,1,"Intersectional",1,1.4298867871233,"HighIH",3,"B",4,"T1"
"10",10,2.74428178869574,4.22193557727119,-1.13176004321376,1,"Intersectional",1,1.11287236560959,"MidIH",2,"FB",2,"T1"
"11",11,3.71657833570961,3.47372911999362,-0.34468052419396,1,"Typical",0,0.573738003303555,"MidIH",2,"FB",2,"T1"
"12",12,6.02541134816234,3.71524469167852,1.52433277480359,1,"Intersectional",1,0.747766631980584,"MidIH",2,"B",4,"T1"
"13",13,4.54516371501837,4.64014355587533,0.326063996925759,1,"Intersectional",1,1.41422006137319,"HighIH",3,"BF",3,"T1"
"14",14,3.14352054686215,4.39012976560315,-0.808574024795038,1,"Intersectional",1,1.2340678800133,"MidIH",2,"FB",2,"T1"
"15",15,4.02536623630733,3.86566453801583,-0.0947149833021227,1,"Typical",0,0.856154506937342,"MidIH",2,"BF",3,"T1"
"16",16,4.58016465312329,5.98542913770754,0.354397453023563,1,"Typical",0,2.38359111828663,"HighIH",3,"BF",3,"T1"
"17",17,4.30242896581844,3.42456626717016,0.129568853302722,1,"Intersectional",1,0.538312776685536,"MidIH",2,"BF",3,"T1"
"18",18,4.9098107784505,4.89825228313675,0.621247844055116,1,"Intersectional",1,1.60020520320695,"HighIH",3,"BF",3,"T1"
"19",19,3.83744959297532,4.31319208310163,-0.246834562152652,1,"Intersectional",1,1.17862897275809,"MidIH",2,"FB",2,"T1"
"20",20,5.96548512434225,4.73099371713798,1.47582215984168,1,"Typical",0,1.47968386923173,"HighIH",3,"B",4,"T1"
"21",21,4.9900741776237,3.71975940836336,0.686221516758323,1,"Intersectional",1,0.751019796768459,"MidIH",2,"BF",3,"T1"
"22",22,3.53912870403652,3.72019244392259,-0.488326998283003,1,"Intersectional",1,0.751331828758842,"MidIH",2,"FB",2,"T1"
"23",23,3.6945118557794,3.69909851533673,-0.362543463708935,1,"Typical",0,0.736132198194237,"MidIH",2,"FB",2,"T1"
"24",24,3.04156771170058,4.39153292165431,-0.891105417823351,1,"Typical",0,1.23507895073516,"MidIH",2,"FB",2,"T1"
"25",25,5.41940929237153,3.150831808168,1.0337707049683,1,"Intersectional",1,0.341068217299746,"MidIH",2,"BF",3,"T1"
"26",26,4.042839201371,5.40624309726389,-0.0805705198867208,1,"Intersectional",1,1.96624762501161,"HighIH",3,"BF",3,"T1"
"27",27,3.41274728975692,2.79147328620233,-0.590633463393605,1,"Typical",0,0.0821256143661194,"MidIH",2,"FB",2,"T1"
"28",28,2.34350936050226,5.23823169988519,-1.45618757613846,1,"Intersectional",1,1.84518382409828,"HighIH",3,"FB",2,"T1"
"29",29,3.02207382938161,3.70438213779458,-0.906885825114285,1,"Intersectional",1,0.739939412629203,"MidIH",2,"FB",2,"T1"
"30",30,3.44740696205126,5.28676867194369,-0.562576263887349,1,"Typical",0,1.8801580604531,"HighIH",3,"FB",2,"T1"
"31",31,4.47524072023268,4.09759860167514,0.269460939686311,1,"Intersectional",1,1.023278998168,"MidIH",2,"BF",3,"T1"
"32",32,3.37674175022299,4.95919395621008,-0.619780149993952,1,"Intersectional",1,1.64411788229529,"HighIH",3,"FB",2,"T1"
"33",33,5.78663116185764,5.18862823810659,1.3310388720685,1,"Intersectional",1,1.80944110833574,"HighIH",3,"B",4,"T1"
"34",34,4.24511697578652,3.23536703543359,0.0831744752840698,1,"Intersectional",1,0.401981679621443,"MidIH",2,"BF",3,"T1"
"35",35,6.25201610311376,4.55958050309195,1.70777059743346,1,"Intersectional",1,1.35616882475885,"HighIH",3,"B",4,"T1"
"36",36,3.6211028286973,3.85935688249578,-0.421968483683492,1,"Typical",0,0.851609406045241,"MidIH",2,"FB",2,"T1"
"37",37,4.32953627902896,5.25358146119423,0.151512375687103,1,"Typical",0,1.85624438591837,"HighIH",3,"BF",3,"T1"
"38",38,5.97373946048306,4.10217284943672,1.48250409133623,1,"Typical",0,1.02657505920301,"MidIH",2,"B",4,"T1"
"39",39,3.77326961945355,4.03733486702237,-0.298788611403736,1,"Intersectional",1,0.979854820474562,"MidIH",2,"FB",2,"T1"
"40",40,3.36199130496054,3.83471594114179,-0.631720718329976,1,"Intersectional",1,0.833853908115107,"MidIH",2,"FB",2,"T1"
"41",41,5.28657690438899,5.84759974205125,0.926242140391321,1,"Intersectional",1,2.28427553151054,"HighIH",3,"BF",3,"T1"
"42",42,6.4224467585606,3.75580300304906,1.84573517082139,1,"Intersectional",1,0.776991692957108,"MidIH",2,"B",4,"T1"
"43",43,4.09139591528014,5.54737510891498,-0.0412635870932544,1,"Typical",0,2.06794297442003,"HighIH",3,"BF",3,"T1"
"44",44,3.0431971384245,5.32839249909071,-0.88978638773312,1,"Typical",0,1.9101508990438,"HighIH",3,"FB",2,"T1"
"45",45,4.30132595659231,4.7854901146334,0.12867596113537,1,"Typical",0,1.51895228268351,"HighIH",3,"BF",3,"T1"
"46",46,2.06878154234458,3.78401146025679,-1.67858128888073,1,"Intersectional",1,0.797317832140224,"MidIH",2,"F",1,"T1"
"47",47,3.90110831839043,4.41057788833225,-0.195302466173272,1,"Typical",0,1.24880216291167,"MidIH",2,"FB",2,"T1"
